,Content ID,Reaction Type,Datetime,User ID,Content Type,Category,Sentiment,Score
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2020-11-07 09:43:50,5d454588-283d-459d-915d-c48a2cb4c27f,photo,Studying,negative,0
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2021-06-17 12:22:51,92b87fa5-f271-43e0-af66-84fac21052e6,photo,Studying,negative,10
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-18 05:13:58,163daa38-8b77-48c9-9af6-37a6c1447ac2,photo,Studying,negative,15
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-01-06 19:13:01,34e8add9-0206-47fd-a501-037b994650a2,photo,Studying,negative,0
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-08-23 12:25:58,9b6d35f9-5e15-4cd0-a8d7-b1f3340e02c4,photo,Studying,positive,30
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-12-07 06:27:54,7918d465-0953-4f20-9e28-539e74c82e2f,photo,Studying,neutral,35
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2021-04-11 17:35:49,fa3e42f0-71d8-455f-b024-e52d5c27a145,photo,Studying,positive,70
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-01-27 08:32:09,b0c22f82-b882-4394-bf27-6dfadf26e5c2,photo,Studying,negative,5
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2021-04-01 22:54:23,1932a904-86ba-4438-bb52-b7e6516a4019,photo,Studying,neutral,35
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-11-07 08:36:27,f50ac030-3af8-4e07-aacf-dccff353b8f6,photo,Studying,neutral,20
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-11-02 06:28:53,b09e3125-2162-443b-bea0-25895b7605bc,photo,Studying,negative,15
